RID,Order,Chose_R,Loc.SameValley_Diff,Loc.City_Diff,Wealth.High_Diff,Wealth.Med_Diff,Trust.Med_Diff,Trust.High_Diff,Good.Med_Diff,Good.High_Diff,Relig.Other_Diff,Pueblo.Other_Diff,Population,Version,Age,Sex,School_Yrs,NetIncome,Type,Nonanonymous_Play,Average_Given.Out
16,18,0,-1,0,0,-1,0,0,0,-1,-1,1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,16,1,0,0,0,0,1,0,-1,1,0,-1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,14,0,0,0,1,0,0,1,-1,1,-1,-1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,13,0,0,0,-1,0,0,-1,1,-1,-1,1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,6,0,-1,1,-1,0,0,-1,1,0,-1,-1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,11,1,0,0,0,0,-1,1,0,1,-1,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,17,0,1,-1,-1,1,0,-1,0,0,-1,-1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,15,0,0,1,0,-1,-1,0,1,-1,-1,0,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
16,5,0,-1,1,0,-1,0,0,-1,1,0,1,Intercultural,G,50,male,12,-1000,Pueblo,TRUE,2.666666667
36,14,1,0,1,0,0,1,-1,-1,1,0,0,Intercultural,C,45,male,12,21870,Religion,FALSE,NA
36,6,0,-1,0,-1,0,0,-1,0,0,-1,0,Intercultural,C,45,male,12,21870,Religion,FALSE,NA
36,10,1,-1,0,1,0,1,-1,1,-1,1,0,Intercultural,C,45,male,12,21870,Religion,FALSE,NA
36,3,1,1,-1,0,0,0,-1,-1,1,0,0,Intercultural,C,45,male,12,21870,Religion,FALSE,NA
